번호,음식_링크,음식_이름,이미지_링크,원재료 및 원산지,칼로리(kcal),탄수화물(g),단백질(g),총 지방(g)
235,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2315,오뮤 곤라이스 제육고추장,https://ottogi.co.kr/pds/product/2021-09-29_517938740[5].jpg,"[배합수 제외] 곤약 46.42%(곤약분(중국산), 수산화칼슘), 귀리 17.41%(국산), 현미 9.67%(국산), 돼지고기 7.89%(국산), 고추장 7.89%[물엿, 혼합양념(고춧가루: 중국산), 소맥분(밀: 미국산, 호주산), 밀쌀, 주정], 보리 6.77%(국산), 올리고당, 마늘, 청주, 양조간장, 카놀라유, 참기름, 후추분",190,33,6,4.6
236,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2317,다시마식초,https://ottogi.co.kr/pds/product/2021-09-30_517952287[3].jpg,"정제수, 주정6%, 다시마(국산), 맥아엑기스, 녹차추출물(녹차:국산), 발효영양원 *총산도: 6~7%",4,1,0,0
237,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2318,GAMER'Z CUP 딜러 핫치킨마요,https://ottogi.co.kr/pds/product/2021-09-30_517963534[1].jpg,"*면:소맥분(밀:호주산,미국산),변성전분,팜유(말레이시아산),감자전분,기타 식용유지가공품,귀리식이섬유,글루텐,난각분말,이스트엑기스,면류첨가알칼리제(산도조절제),강황,마리골드색소,혼합제제(아라비아검,자당,옥수수전분,가공유지,고결방지제,비타민D3,비타민E),비타민B2,녹차풍미유.*스프류:딜러마요네스[식물성유지(외국산:아르헨티나,미국,중국 등),난황액{난황(계란:국산),정제소금(국산),난황액피엘},발효식초,설탕,정제소금],매운양념소스(설탕,양조간장,하바네로맛베이스,육수맛분말,옥배유),올리고당,설탕,야채볶음소스,닭육수베이스,정제수,양조간장,치킨향미분말,고추맛추출기름,볶음야채풍미유,변성전분,마늘,복합지미분,칠리추출물,건포도페이스트,간장베이스,고춧가루,닭육수분말,참맛지미분말,후추분말,향미증진제,영양강화제,효모추출조미분말,칠리맛분말,결명자분말,카레향미분말,매운칠리추출물,조미닭고기후레이크,건양배추,튀김감자,건당근,건청경채*밀,대두,계란,우유,쇠고기,닭고기,조개류(굴, 홍합 포함) 함유",555,75,11,25
238,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2320,간편장아찌소스,https://ottogi.co.kr/pds/product/2021-10-08_902287993[1].jpg,"양조간장[양조간장원액(탈지대두:인도산),천일염(호주산),기타과당,주정,굴농축액],표고다시마추출액[표고버섯(중국산),건다시마(국산)],정제수,설탕,발효식초(주정,발효영양원),가쓰오부시엑기스[훈연가다랑어농축액{가쓰오부시분말(인도네시아산)},정제소금(국산)],청주,농축매실추출액,효모추출물,마늘엑기스",85,21,1,0
239,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2321,간편 피클초,https://ottogi.co.kr/pds/product/2021-10-13_683744263[1].jpg,"발효식초40%(주정,발효영양원),정제수,설탕,정제소금(국산),효모추출물,마늘엑기스(중국산),효소처리스테비아(감미료)",75,18,1,0
240,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2322,산타컵스프_포타주 72G,https://ottogi.co.kr/pds/product/2021-10-14_897554400[1].jpg,"건조감자분말(미국산),덱스트린,전분가공품(덴마크산:감자전분,덱스트린),크림혼합분말[가당연유(우유:국산),전지분유(국산),유청분말,야자경화유,물엿],분말유크림[유크림(이탈리아산),유당(미국산),전지분유,유청분말,레시틴),체다치즈파우더,정제소금,감자분(국내산),맛베이스,양파맛분말,혼합야채분말,치킨스톡분말,식물성유지,마늘분,백후추",95,15,2,3.2
241,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2323,오즈키친 철판알밥,https://ottogi.co.kr/pds/product/2021-10-21_48640738[1].jpg,"쌀(외국산),날치알골드플러스[날치알(인도네시아), 열빙어알(아이슬란드), 설탕, 미림, 정제소금],양파(중국산), 대파, 카놀라유, 당근, 김치, 쫄깃단무지, 홍피망, 누룽지, 마늘, 골드마요네스, 어묵, 미향, 밥친구야채, 가쓰오부시추출물, 생강, L-글루탐산나트륨(향미증진제), 참기름, 복합조미식품, 쇠고기다시, 설탕, 향미증진제",450,73,8,14
242,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2324,순후추라면 봉지 사골곰탕맛,https://ottogi.co.kr/pds/product/2021-10-29_257714933[1].jpg,"*면:소맥분(밀:미국산,호주산),팜유(말레이시아산),변성전분,감자전분(외국산:덴마크,프랑스,독일 등),쌀가루,글루텐,정제소금,귀리식이섬유,면류첨가알칼리제(산도조절제),난각분말,이스트엑기스,야채풍미액,비타민B2,녹차풍미유*스프류:사골농축분말[사골엑스분말{농축사골액(사골엑기스:뉴질랜드산)}],정제소금,사태양념분말,사골엑기스분말(사골추출물:호주산),덱스트린,사골양념분말[사골엑기스{사골농축액(사골:뉴질랜드산)}],복합지미분,유청혼합분말,포도당,진한풍미맛분,식물성크림,향미증진제,마늘양념분말,뉴크림전지분,유크림혼합분,맛베이스,진한감칠맛분,동결건조중파,백후추분말(백후추:베트남산),영양강화제,육수추출농축분말,혼합야채분,흑후추분말{흑후추(외국산:베트남,인도네시아,말레이시아 등)},동결건조파,숙성마늘맛분,유화제,고소한향미분말,식물성유지",470,71,11,16
243,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2325,SWEET POTATO CHEESE PIZZA,https://ottogi.co.kr/pds/product/2021-11-24_596472778[9].jpg,"WHEAT FLOUR, CHEESE BLEND[MOZZARELLA CHEESE(PASTEURIZED MILK, CULTURE, SALT, ENZYME, CALCIUM CHLORIDE), CHEDDAR CHEESE(PASTEURIZED MILK, SALT, CULTURE, ENZYME, ANNATTO COLOR), POWDERED CELLULOSE], WATER, SWEET POTATO SAUCE[SWEET POTATO PASTE, WATER, SUGAR, MAYONNAISE(SOYBEAN OIL, EGG YOLKS, VINEGAR), HIGH FRUCTOSE CORN SYRUP, SALT, ARTIFICIAL FLAVOR, CARRAGEENAN, RIBOFLAVIN(COLOR)], STEAMED SWEET POTATO, SOYBEAN OIL, SUGAR, SKIM MILK, YEAST, SALT",400,52,13,16
244,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2326,HONEY MUSTARD SAUCE_ SMOKED FLAVOR,https://ottogi.co.kr/pds/product/2021-11-24_596472778[3].jpg,"SOYBEAN OIL, HIGH-FRUCTOSE CORN SYRUP, WATER, SUGAR, SALAD MUSTARD, CUSTOM MUSTARD, HICKORY SMOKE OIL, VINEGAR, EGG YOLK, SALT, HONEY, XANTHAN GUM, SUGAR SYRUP, SEASONING OIL, DRIED MOLASSES POWDER, SPICESE, EDTA",720,23.5,1,40.1
245,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2327,HONEY CITRON TEA(HALAL),https://ottogi.co.kr/pds/product/2022-05-19_748325212[1].jpg,"PRESERVE CITRON, SUGAR, WATER, HONEY, SODIUM CARBOXYMETHYLCELLULOSE, CITRIC ACID, ASCORBIC ACID, CARRAGEENANMAY CONTAIN MILK, SOYBEANS, TOMATO, PEACH",60,15,0,0
246,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2328,BODLE BODLE CHEESE RAMEN(SPICY),https://ottogi.co.kr/pds/product/2021-11-24_596472778[7].jpg,"* NOODLE  WHEAT FLOUR, MODIFIED STARCH(TAPIOCA,POTATO), PALM OIL, POTATO STARCH, WHEAT GLUTEN, SALT, YEAST EXTRACT, ACIDITY REGULATOR, POTASSIUM CARBONATE, PENTASODIUM TRIPHOSPHATE, DISODIUM DIPHOSPHATE), RIBOFLAVIN, GREEN TEA EXTRACT* POWDER SOUP  SALT, SUGAR, HYDROLYZED VEGETABLE PROTEIN, RED PEPPER, DRIED WHEY, GLUCOSE, CHEESE POWDER, SOY SAUCE POWDER, DISODIUM INOSINATE, DISODIUM GUANYLATE, GARLIC POWDER, VEGETABLE POWDER, YEAST EXTRACT POWDER, CORN FLOUR, OLEORESIN CAPSICUM, BLACK PEPPER, SOYBEAN PASTE POWDER, CHILLI EXTRACT POWDER* CHEESE POWDER SOUP   CHEESE POWDER, MILK CREAM POWDER, CHEESE FLAVOR POWDER* VEGETABLE MIX   CARROT, CABBAGE, CORN, SPINACH",470,75,9,15
247,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2329,YANG-NYEOM CHICKEN SAUCE_ORIGINAL,https://ottogi.co.kr/pds/product/2021-11-24_596472778[1].jpg,"CORN SYRUP, SUGAR, WATER, TOMATO PASTE, GARLIC, ONION, RED PEPPER, CARROT, SOY SAUCE, SALT, VINEGAR, SOYBEAN OIL, RED PEPPER POWDER, GINGER, MUSTARD POWDER, MONOSODIUM GLUTAMATE, WHITE PEPPER POWDER, BLACK PEPPER POWDER, CLOVE",230,53,1,1.5
248,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2330,케요네스,https://ottogi.co.kr/pds/product/2021-12-03_4895925[1].jpg,"식물성유지[외국산(아르헨티나, 미국, 중국 등)], 토마토케챂[토마토페이스트(외국산), 물엿, 설탕, 발효식초, 정제소금(국산)], 정제수, 난황액[난황(계란:국산), 정제소금(국산)], 설탕, 발효식초, 정제소금, 할라피뇨착즙액, 변성전분, 향미유, 효모추출물, 청양고추엑기스, 잔탄검, 합성향료(할라피뇨향)",515,13,1,51
249,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2331,컵누들 매콤찜닭맛 컵,https://ottogi.co.kr/pds/product/2021-12-03_218710918[4].jpg,"*당면:당면(중국산:감자전분,녹두전분)*스프류:닭육수베이스[치킨농축베이스{닭고기(국산)},정제소금(국산)],양조간장[양조간장원액{탈지대두(인도산)},천일염(호주산)],설탕,올리고당,소불고기양념,식물성유지,매운간장양념소스,치킨추출농축액,버섯양념농축액,닭육수분말,육수추출농축액,감자분말,참기름,정제수,시즈닝분말,난황분,효묘추출조미분말,진한감칠맛분,마늘,감자전분,고춧가루,감칠맛베이스,피쉬콜라겐,볶음고추분,향미증진제,후추분말,칠리맛분말,닭고기후레이크,건청경채,건당근,건표고버섯,건조링고추후레이크",150,32,2,1.5
250,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2332,X.O.미니군만두 고기,https://ottogi.co.kr/pds/product/2021-12-10_366623607[3].jpg,"돼지고기(국산), 밀가루(밀:미국산,캐나다산,호주산), 양배추(국산), 부추, 대파 등",290,16,9,21
251,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2333,X.O.교자 고기&제주마늘,https://ottogi.co.kr/pds/product/2021-12-10_366623607[5].jpg,"돼지고기(국산),밀가루(밀:미국산,호주산,캐나다산), 부추(국산), 양배추, 양파, 마늘(제주산), 대파 등",255,24,8,14
252,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2334,순후추라면 용기 매운맛,https://ottogi.co.kr/pds/product/2021-12-24_573720162[1].jpg,"*면:소맥분(밀:미국산,호주산),변성전분,팜유(말레이시아산),글루텐,정제소금,난각분말,조미마늘엑기스,마늘시즈닝,면류첨가알칼리제(산도조절제),야채추출물,비타민B2,녹차풍미유*스프류:정제소금(국산),쇠고기볶음맛분말,바지락육수분말,포도당,설탕,흑후추분말{흑후추(외국산:베트남,인도네시아,말레이시아 등)},간장분말,감자전분,조미육수분말,참맛다대기양념분말,볶음참깨분말,혼합야채분,간장베이스,구운쇠고기분말,매운볶음베이스,복합지미분,비프베이스분말,사태양념분말,숙성마늘맛분,유지혼합분말,참맛장조림분말,고춧가루,야채조미베이스,향미증진제,기타 식용유지가공품,칠리추출물,잔탄검,매운칠리추출물,산도조절제,계란스크램블,건당근,건파,건고추입자,건표고버섯밀,대두,계란,우유,쇠고기,닭고기,토마토,조개류(굴,홍합 포함) 함유",475,67,9,19
253,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2335,순후추라면 용기 사골곰탕맛,https://ottogi.co.kr/pds/product/2021-12-24_573720162[3].jpg,"*면:소맥분(밀:미국산,호주산),변성전분,팜유(말레이시아산),정제소금,기타 식용유지가공품,글루텐,유화유지,난각분말,면류첨가알칼리제(산도조절제),조미마늘엑기스,비타민B2,녹차풍미유*스프류:사골농축분말[사골엑스분말{농축사골액(사골엑기스:뉴질랜드산)},고지방분말{식물성유지(외국산:인도네시아,말레이시아,필리핀)}],정제소금,덱스트린,사골엑기스분말(사골추출물:호주산),백후추분말(백후추:베트남산),흑후추분말{흑후추(외국산:베트남,인도네시아,말레이시아 등)},사태양념분말,뉴크림전지분,복합지미분,혼합야채분,포도당,유청혼합분말,향미증진제,육수추출농축분말,오뚜기비프시즈닝,사골양념분말(사골:뉴질랜드산),마늘양념분,유크림혼합분,맛베이스,진한감칠맛분,영양강화제,식물성크림,야채조미베이스,설탕,유화제,고소한향미분말,식물성유지,건파,쪽파후레이크밀,대두,계란,우유,쇠고기,돼지고기 함유닭고기,메밀,토마토,오징어,새우,게,고등어,땅콩,조개류(굴,홍합 포함) 혼입가능",470,69,10,17
254,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2336,프레스코 베이컨토마토 리조또,https://ottogi.co.kr/pds/product/2021-12-30_569022834[1].jpg,"정제수, 다이스토마토(미국산:토마토,토마토주스,구연산,염화칼슘),양파(국산),베이컨[돼지고기(외국산/삼겹살)93%],콘센트레이티드 크러쉬드 토마토(미국산),곤약,찹쌀,귀리,현미,멥쌀,버터,혼합제제(변성전분,덱스트린),마늘,과일소스,슬라이스 블랙 올리브, 슬라이스 할라피뇨 피클,닭고기맛베이스,그라나파다노치즈,셀러리,홍피망,올리고당,쇠고기다시,꽃소금,바질,후추분,오레가노,파프리카추출색소",285,39,7,11
255,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2337,프레스코 트러플크림 리조또,https://ottogi.co.kr/pds/product/2021-12-30_569022834[3].jpg,"정제수, 진한요리크림(프랑스산: 유크림, 유화제, 변성전분, 펙틴, 카라기난), 양송이(네덜란드산), 찹쌀(국산), 멥쌀, 귀리, 곤약, 혼합제제(변성전분, 덱스트린), 현미, 표고버섯, 난황액, 크림베이스, 식물성분해단백, 트러플베이스, 쇠고기다시, 설탕, 후추후레이크, 정제소금",370,39,4,22
256,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2338,프레스코 콰트로치즈 리조또,https://ottogi.co.kr/pds/product/2021-12-30_569022834[5].jpg,"정제수, 진한요리크림(프랑스산: 유크림, 유화제, 변성전분, 펙틴, 카라기난), 찹쌀(국산), 멥쌀(국산), 곤약, 귀리, 혼합제제(변성전분, 덱스트린), 현미, 고다치즈파우더, 버터, 그레이티드 파마산치즈, 치즈분말, 크림치즈, 까망베르치즈파우더, 난황액, 닭육수농축액, 혼합제제(변성전분, 감자단백질, 제이인산나트륨, 글리세린에스테르, 잔탄검), 에멘탈치즈파우더, 혼합제제(글리세린에스테르, 알코올), 닭고기조미분말, 꽃소금, L-글루탐산나트륨(향미증진제), 백후추분, 향미증진제, 영양강화제, 너트멕",305,30,8,17
257,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2339,프레스코 치킨로제 리조또,https://ottogi.co.kr/pds/product/2021-12-30_569022834[7].jpg,"정제수, 닭가슴살(국산), 크러쉬드토마토(이탈리아산:토마토,구연산), 진한요리크림(프랑스산: 유크림, 유화제, 변성전분, 펙틴, 카라기난), 양파, 식물성크림, 찹쌀, 멥쌀, 귀리, 곤약, 현미, 혼합제제(변성전분, 덱스트린), 버터, 마늘, 닭고기맛베이스, 치킨파우더, 크림베이스, 정제소금, 설탕, 혼합제제(폴리인산나트륨, 피로인산나트륨, 메타인산나트륨), 식물성분해단백, 바질, 오레가노",335,25,9,22
258,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2340,오즈키친 진짬뽕죽,https://ottogi.co.kr/pds/product/2022-03-16_153756646[7].JPG,"정제수,멥쌀(국산),오징어(페루산),오징어농축액(오징어:국산),표고버섯,찹쌀,새송이버섯,위고둥,볶은고추기름,죽순채,물밤,마늘,닭육수농축액,고춧가루,해물맛베이스,감칠맛베이스,홍합엑기스,치킨파우더,L-글루탐산나트륨(향미증진제),향미증진제,설탕,돈골농축액,건파,파프리카추출색소,후추분,d-토코페롤(혼합형)",285,48,8,7
259,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2341,오즈키친 트러플전복죽,https://ottogi.co.kr/pds/product/2021-12-30_569022834[11].jpg,"정제수,멥쌀(국산),전복[외국산(필리핀,말레이시아,인도네시아 등)],찹쌀(국산),새송이버섯,다시마엑기스,양파,참기름,식물성분해단백,돈골농축액,건조 양송이,바지락엑기스,엑스트라버진올리브유,양파맛분말,트러플 베이스,꽃소금,복합조미식품,건미역,감칠맛베이스,미역분말,후추분,향미증진제,d-토코페롤(혼합형)",235,45,5,4
260,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2342,옛날 도가니탕죽,https://ottogi.co.kr/pds/product/2021-12-30_569022834[13].jpg,"*죽: 정제수,멥쌀(국산),우건(호주산),도가니(뉴질랜드산),찹쌀,사골엑기스,파,다시마엑기스,참기름,식물성분해단백,도가니추출액,마늘,장국맛분,꽃소금,효모추출물,향미증진제,후추분*고소한 참기름: 참깨100%(외국산: 인도, 파키스탄, 에키오피아 등)*김참깨 고명스프: 볶은참깨[참깨100%(외국산: 인도, 파키스탄, 에키오피아 등), 김후레이크(김100%:국산)",170,20,14,4
261,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2343,옛날 사골곰탕죽,https://ottogi.co.kr/pds/product/2021-12-30_569022834[15].jpg,"*죽: 정제수,멥쌀(국산),차돌양지(뉴질랜드산),찹쌀(국산),사골엑기스,파,참기름,쇠고기다시,마늘,꽃소금,효모추출물,조미분말1,향미증진제,후추분,감칠맛베이스*고소한 참기름: 참깨100%(외국산: 인도, 파키스탄, 에키오피아 등)*김참깨 고명스프: 볶은참깨[참깨100%(외국산: 인도, 파키스탄, 에키오피아 등), 김후레이크(김100%:국산)",175,23,10,4.9
262,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2344,초간편 감자수제비 키트,https://ottogi.co.kr/pds/product/2021-12-30_569024252[1].jpg,"* 반죽믹스 - 소맥분(밀:호주산,미국산), 감자전분(외국산97%,국산3%), 건조감자 분말(미국산), 감자분말(감자:국산),전분가공품,로스팅맛분말*액체스프 - 멸치엑기스[멸치추출농축액{멸치(국산)},저감미당,정제소금(국산),포도당,향미증진제],멸치육수분말,바지락육수분말,우동풍미분,마늘,건조감자분말(미국산),효모추출조미분말,정제수,정제소금,후추분말,향미증진제*건더기스프 - 건조호박, 튀김감자(감자:중국산),건청경채,건당근,건부추*육수티백 - 건멸치,건양파,건다시마",315,68,9,1
263,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2345,제주담음 제주 흑돼지 카레,https://ottogi.co.kr/pds/product/2022-05-23_316001203[2].jpg,"정제수,흑돼지고기(제주산),양파(국산),볶은양파[양파(국산),카놀라유(캐나다산)],당근(제주산),감자(제주산),혼합과일소스,버터루,당근,사과퓨레,감귤과즙농축액(감귤:제주산),옥수수유,생강,사골엑기스,토마토페이스트,정제소금,카레분,미향,감귤절임(감귤:제주산),구운양파조각,복합양념,향미증진제,혼합제제(폴리인산나트륨,피로인산나트륨,메타인산나트륨),쿠민,후추분[대두,밀,쇠고기,돼지고기,토마토,우유 함유]* 닭고기,계란,게,새우,오징어,조개류(굴,전복,홍합 포함),잣,아황산류 혼입가능",330,26,14,19
264,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2346,제주담음 제주 한라봉 마말레이드,https://ottogi.co.kr/pds/product/2022-05-23_316001203[3].jpg,"감귤절임30%[감귤85%(제주산),설탕],설탕,정제수,한라봉절임10%[한라봉85%(제주산),설탕],프락토올리고당,하귤절임6%[여름밀감열매85%(제주산),설탕],감귤과즙농축액1%[감귤(제주산),고형분 60%],아미드펙틴,비타민C,구연산* 우유, 대두, 밀, 닭고기, 조개류(굴) 혼입 가능",235,59,0,0
265,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2347,고기리 들기름막국수용 육수,https://ottogi.co.kr/pds/product/2022-05-23_316001203[5].jpg,"정제수,쇠고기다시[정제소금(국산),간장분말(대두:외국산)],정제소금(국산),진한다시마밑국물[건다시마(완도산),정제소금(국산)],마늘엑기스,무농축액,파엑기스,L-글루탐산나트륨(향미증진제),향미증진제       * 우유, 대두, 밀, 쇠고기 함유* 메추리알, 계란, 새우, 돼지고기, 토마토, 닭고기, 오징어, 조개류(굴, 전복, 홍합 포함) 혼입 가능",20,4,1,0
266,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2348,오늘밥상 제육볶음양념,https://ottogi.co.kr/pds/product/2022-02-03_327063180[1].jpg,"고추장[물엿,혼합양념(중국산),소맥분(밀:미국산,호주산),밀쌀,주정], 물엿, 정제수, 양조간장[양조간장원액(탈지대두:인도산),천일염(호주산),기타과당,주정,굴농축액], 설탕, 고추분(고추:중국산), 마늘(국산), 양파(국산), 파, 옥수수유, 참기름, 후추분, 발효젖산, 향미증진제",340,61,4,9
267,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2349,오늘밥상 춘천식 철판닭갈비양념,https://ottogi.co.kr/pds/product/2022-02-03_327063180[3].jpg,"정제수, 고추장[물엿,혼합양념(중국산),소맥분(밀:미국산,호주산),밀쌀,주정], 양조간장[양조간장원액(탈지대두:인도산),천일염(호주산),기타과당,주정,굴농축액], 설탕, 고추분(고추:중국산), 양파분, 마늘분, 생강분, 후추분, 생강농축액, 발효젖산, 순카레, 향미증진제, 조미양념분, 참기름, 양파맛분말",235,48,4,2.9
268,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2350,오늘밥상 차슈요리양념,https://ottogi.co.kr/pds/product/2022-02-03_327063180[5].jpg,"양조간장[양조간장원액(탈지대두:인도산),천일염(호주산),기타과당,주정,굴농축액],저당물엿,설탕,가쓰오부시엑기스[훈연가다랑어농축액(가쓰오부시분말:인도네시아산),물엿,정제소금(국산),향미증진제 2종],정제수,청주[(쌀:국산),주정],굴소스,찰옥수수전분,슈가시럽,생강농축액,양파엑기스,우스타소스,정제소금,쇠고기다시,생강분,스모크풍미유[대두유,스모크오일,포도씨유,d-토코페롤(혼합형)]",200,44,4,0.9
269,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2355,개포동 쌀국수,https://ottogi.co.kr/pds/product/2022-02-03_327063619[9].jpg,"*면:쌀면(베트남산:쌀가루91%,변성전분,설탕,정제소금,구아검)*스프류:비프스파이스소스{물엿,정제소금(국산),쇠고기 엑기스[쇠고기정육(호주산)],덱스트린,혼합향신료분말},비프육수페이스트[저당,쇠고기(호주산),정제소금(국산),설탕,무우],정제수,향신료분말,덱스트린,건청경채,포도당,쇠고기조미유,진한감칠맛분,옥수수전분,정제소금,참맛양지육수페이스트,마늘,후추분말,향미증진제,고춧가루,쇠고기육수분말,참맛쇠고기감칠맛분,사골농축분말,칠리맛분말,마늘양념분말,야채양념분말,조미고추맛분말,파슬리후레이크,건양배추,조미쇠고기맛후레이크,건조링고추후레이크,쪽파후레이크",275,59,6,1.5
270,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2356,참깨드레싱 1040g,https://ottogi.co.kr/pds/product/2022-02-09_322378175[3].jpg,"카놀라유(캐나다산), 정제수, 양조간장[탈지대두(외국산), 천일염(호주산), 소맥, 주정], 설탕, 2배사과식초[주정, 사과농축액(국산), 발효영양원, 사과에센스(합성향료)], 옛날볶음참깨분말[참깨:외국산(인도, 나이지리아, 파키스탄 등)], 표고버섯엑기스, 난황액, 정제소금, 젖산, 잔탄검, 효모추출물, 5`-이노신산이나트륨, 향미유, 이디티에이칼슘이나트륨(산화방지제)",475,17,3,44
271,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2358,프레스코 감바스 파스타 소스,https://ottogi.co.kr/pds/product/2022-03-02_809293747[1].jpg,"정제수, 해바라기유(외국산:우크라이나, 말레이시아, 스페인 등), 흰다리새우살(베트남산:새우, 정제소금, 폴리인산나트륨), 압착올리브유(스페인산), 새우엑기스, 마늘, 양송이, 오븐드라이반건조토마토, 혼합제제(변성전분, 설탕, 덱스트린), 화이트와인, 감칠맛베이스, 치킨엑기스, 정제소금, , L-글루탐산나트륨(향미증진제), 설탕, 건조고추링, 후추분말, 바질, 토코페롤(혼합형), 파프리카추출색소, 타마린드검, 향미증진제",230,4,2,23
272,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2359,프레스코 명란오일 파스타 소스,https://ottogi.co.kr/pds/product/2022-03-02_809293747[3].jpg,"정제수, 정제올리브유(스페인산), 백명란[명란(러시아산), 정제소금(국산), 멸치액젓, 당류가공품, 청주], 가쓰오부시추출물[가쓰오부시추출액(가쓰오부시:인도네시아산),양조간장(대두:인도산)], 마요감마, 혼합제제(변성전분, 설탕, 덱스트린), 압착올리브유, 감칠맛베이스, 식물성분해단백, 혼합제제(변성전분, 덱스트린), 구운마늘분말, L-글루탐산나트륨(향미증진제), 구운양파조각, 고추후레이크, 청파칩, 후추분말, 파슬리칩, 토코페롤(혼합형), 향미증진제",240,4,2,24
273,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2360,민트초코시럽,https://ottogi.co.kr/pds/product/2023-04-13_891813617[17].jpg,"물엿,기타과당,정제수,코코아분말(네덜란드산),알룰로스,탈지분유(국산),정제소금(국산),애플민트혼합농축분말,구연산,잔탄검,수크랄로스,변성전분,천연향료(박하향),합성향료(쵸코렛향)",300,70,2,1.5
274,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2361,솔티드카라멜시럽,https://ottogi.co.kr/pds/product/2023-04-13_891813617[15].jpg,"물엿,기타과당,올리고당,가당연유[원유(국산),설탕,유당(미국산)],생카라멜시럽12%,정제수,백설탕,변서전분,정제소금0.83%(국산),산도조절제,합성향료(카라멜향),산화방지제,잔탄검,슈가시럽",285,66,1,2
